title,price,brand,latitude,longitude,location
Costco Casuarina,155.7,Costco,-32.233194,115.853241,SOR
Costco Perth Airport,155.7,Costco,-31.940377,115.951869,SOR
United Perth Airport,156.7,United,-31.956366,115.969749,SOR
Liberty Gosnells,159.5,Liberty,-32.075216,116.005816,SOR
Liberty O'Connor,159.5,Liberty,-32.063065,115.792017,SOR
Liberty Tapping,159.5,Liberty,-31.720162,115.783898,NOR
Ampol Foodary Gosnells North,159.9,Ampol,-32.064148,115.999536,SOR
Vibe Kwinana Town Centre,161.5,Vibe,-32.244599,115.815592,SOR
Vibe Kwinana OPT,161.5,Vibe,-32.245503,115.78259,SOR
Liberty Beckenham,161.5,Liberty,-32.022054,115.954779,SOR
Atlas Fuel Ascot,161.5,Atlas,-31.925213,115.951987,SOR
United Tapping,161.5,United,-31.719744,115.783408,NOR
Liberty Landsdale,161.5,Liberty,-31.802758,115.837737,NOR
Liberty Banksia Grove,161.5,Liberty,-31.703225,115.798512,NOR
Liberty Naval Base,161.5,Liberty,-32.197618,115.783018,SOR
Ampol Foodary Kwinana,161.9,Ampol,-32.248836,115.78268,SOR
Atlas Fuel Kwinana,161.9,Atlas,-32.235848,115.780215,SOR
Ampol Foodary Belmont,161.9,Ampol,-31.937734,115.933447,SOR
EG Ampol Joondalup Winton Road,161.9,EG Ampol,-31.74449,115.763128,NOR
Ampol Foodary O'Connor,161.9,Ampol,-32.05517,115.793146,SOR
Vibe Ascot,162.3,Vibe,-31.935968,115.934361,SOR
Shell Alkimos,162.3,Shell,-31.628239,115.69118,NOR
Atlas Fuel Welshpool,162.5,Atlas,-31.993707,115.919139,SOR
Vibe Welshpool,162.9,Vibe,-31.994327,115.930681,SOR
United Anketell,162.9,United,-32.211351,115.855637,SOR
Metro Malaga,163.3,Metro Petroleum,-31.855778,115.891559,NOR
Better Choice Naval Base,163.5,Better Choice,-32.206745,115.784712,SOR
X Convenience Alkimos,163.5,X Convenience,-31.621433,115.688754,NOR
Puma Warnbro,163.7,Puma,-32.326142,115.749757,SOR
